no,Provincia,Superficie
(km²)4​,Porcentaje,Densidad
(hab/km²)
1.ª,San Juan,3.363,8,7,0%,69,07
2.ª,La Alt37agracia,2.998,4,6,2%,91,12
3.ª,Santiago,2.806,3,5,8%,343,31
4.ª,Azua,2.682,5,5,6%,79,89
5.ª,Monte Plata,2.601,6,5,4%,71,48
6.ª,La Vega,2.292,5,4,7%,171,95
7.ª,Pedernales,2.080,5,4,3%,15,18
8.ª,Independencia,2.007,4,4,2%,26,20
9.ª,Montecristi,1.885,8,3,9%,58,12
10.ª,Puerto Plata,1.805,6,3,7%,178,11
11.ª,El Seibo,1.788,4,3,7%,49,03
12.ª,Barahona,1.660,2,3,4%,112,70
13.ª,Duarte,1.649,5,3,4%,175,55
14.ª,Elías Piña,1.395,5,2,9%,45,17
15.ª,Hato Mayor,1.319,3,2,7%,64,44
16.ª,Santo Domingo,1.302,2,2,7%,1.823,35
17.ª,Bahoruco,1.284,9,2.7%,75,74
18.ª,San Pedro de Macorís,1.254,3,2,6%,231,57
19.ª,San Cristóbal,1.240,6,2,6%,459,40
20.ª,María Trinidad Sánchez,1.206,5,2,5%,116,80
21.ª,Sánchez Ramírez,1.185,8,2,5%,127,67
22.ª,Santiago Rodríguez,1.147,5,2,4%,50.09
23.ª,Dajabón,1.021,3,2,1%,62,62
24.ª,Monseñor Nouel,992.0,2,1%,166,56
25.ª,Samaná,862.8,1,8%,117,63
26.ª,San José de Ocoa,853,4,1,8%,69,77
27.ª,Espaillat,843,0,1,7%,275.13
28.ª,Valverde,823,0,1,7%,198,09
29.ª,Peravia,785,2,1,6%,234,77
30.ª,La Romana,652,1,1,3%,376,37
31.º,Hermanas Mirabal,427,4,0,9%,215,71
32º,Distrito Nacional,91,6,0,2%,10.535,37
